Admission_Date,Hospitalizations,Hospitalization_Rate
1/27/2020,0,0.00
1/28/2020,0,0.00
1/29/2020,1,0.04
1/30/2020,0,0.00
1/31/2020,1,0.04
2/1/2020,1,0.04
2/2/2020,0,0.00
2/3/2020,0,0.00
2/4/2020,0,0.00
2/5/2020,0,0.00
2/6/2020,0,0.00
2/7/2020,0,0.00
2/8/2020,2,0.09
2/9/2020,0,0.00
2/10/2020,0,0.00
2/11/2020,3,0.13
2/12/2020,1,0.04
2/13/2020,0,0.00
2/14/2020,0,0.00
2/15/2020,2,0.09
2/16/2020,0,0.00
2/17/2020,1,0.04
2/18/2020,1,0.04
2/19/2020,4,0.18
2/20/2020,3,0.13
2/21/2020,4,0.18
2/22/2020,3,0.13
2/23/2020,2,0.09
2/24/2020,6,0.27
2/25/2020,1,0.04
2/26/2020,1,0.04
2/27/2020,11,0.49
2/28/2020,8,0.36
2/29/2020,5,0.22
3/1/2020,3,0.13
3/2/2020,14,0.63
3/3/2020,11,0.49
3/4/2020,9,0.40
3/5/2020,23,1.03
3/6/2020,15,0.67
3/7/2020,12,0.54
3/8/2020,14,0.63
3/9/2020,17,0.76
3/10/2020,22,0.99
3/11/2020,16,0.72
3/12/2020,26,1.17
3/13/2020,14,0.63
3/14/2020,16,0.72
3/15/2020,14,0.63
3/16/2020,23,1.03
3/17/2020,19,0.85
3/18/2020,16,0.72
3/19/2020,26,1.17
3/20/2020,22,0.99
3/21/2020,24,1.08
3/22/2020,21,0.94
3/23/2020,43,1.93
3/24/2020,25,1.12
3/25/2020,34,1.53
3/26/2020,28,1.26
3/27/2020,35,1.57
3/28/2020,41,1.84
3/29/2020,38,1.71
3/30/2020,38,1.71
3/31/2020,39,1.75
4/1/2020,41,1.84
4/2/2020,39,1.75
4/3/2020,46,2.07
4/4/2020,25,1.12
4/5/2020,33,1.48
4/6/2020,26,1.17
4/7/2020,35,1.57
4/8/2020,24,1.08
4/9/2020,31,1.39
4/10/2020,30,1.35
4/11/2020,22,0.99
4/12/2020,17,0.76
4/13/2020,18,0.81
4/14/2020,16,0.72
4/15/2020,23,1.03
4/16/2020,26,1.17
4/17/2020,24,1.08
4/18/2020,20,0.90
4/19/2020,22,0.99
4/20/2020,16,0.72
4/21/2020,19,0.85
4/22/2020,15,0.67
4/23/2020,18,0.81
4/24/2020,14,0.63
4/25/2020,16,0.72
4/26/2020,10,0.45
4/27/2020,7,0.31
4/28/2020,17,0.76
4/29/2020,13,0.58
4/30/2020,7,0.31
5/1/2020,6,0.27
5/2/2020,13,0.58
5/3/2020,6,0.27
5/4/2020,15,0.67
5/5/2020,9,0.40
5/6/2020,8,0.36
5/7/2020,8,0.36
5/8/2020,9,0.40
5/9/2020,8,0.36
5/10/2020,13,0.58
5/11/2020,9,0.40
5/12/2020,9,0.40
5/13/2020,9,0.40
5/14/2020,11,0.49
5/15/2020,5,0.22
5/16/2020,2,0.09
5/17/2020,4,0.18
5/18/2020,7,0.31
5/19/2020,10,0.45
5/20/2020,7,0.31
5/21/2020,5,0.22
5/22/2020,8,0.36
5/23/2020,6,0.27
5/24/2020,8,0.36
5/25/2020,6,0.27
5/26/2020,2,0.09
5/27/2020,4,0.18
5/28/2020,3,0.13
5/29/2020,7,0.31
5/30/2020,3,0.13
5/31/2020,6,0.27
6/1/2020,6,0.27
6/2/2020,1,0.04
6/3/2020,5,0.22
6/4/2020,4,0.18
6/5/2020,8,0.36
6/6/2020,3,0.13
6/7/2020,4,0.18
6/8/2020,6,0.27
6/9/2020,2,0.09
6/10/2020,7,0.31
6/11/2020,1,0.04
6/12/2020,0,0.00
6/13/2020,1,0.04
6/14/2020,2,0.09
6/15/2020,8,0.36
6/16/2020,4,0.18
6/17/2020,4,0.18
6/18/2020,5,0.22
6/19/2020,5,0.22
6/20/2020,4,0.18
6/21/2020,7,0.31
6/22/2020,5,0.22
6/23/2020,6,0.27
6/24/2020,6,0.27
6/25/2020,10,0.45
6/26/2020,4,0.18
6/27/2020,9,0.40
6/28/2020,12,0.54
6/29/2020,5,0.22
6/30/2020,4,0.18
7/1/2020,3,0.13
7/2/2020,5,0.22
7/3/2020,7,0.31
7/4/2020,4,0.18
7/5/2020,5,0.22
7/6/2020,5,0.22
7/7/2020,10,0.45
7/8/2020,10,0.45
7/9/2020,11,0.49
7/10/2020,7,0.31
7/11/2020,8,0.36
7/12/2020,5,0.22
7/13/2020,7,0.31
7/14/2020,14,0.63
7/15/2020,5,0.22
7/16/2020,3,0.13
7/17/2020,8,0.36
7/18/2020,6,0.27
7/19/2020,9,0.40
7/20/2020,9,0.40
7/21/2020,8,0.36
7/22/2020,7,0.31
7/23/2020,5,0.22
7/24/2020,9,0.40
7/25/2020,5,0.22
7/26/2020,10,0.45
7/27/2020,9,0.40
7/28/2020,9,0.40
7/29/2020,16,0.72
7/30/2020,10,0.45
7/31/2020,11,0.49
8/1/2020,8,0.36
8/2/2020,4,0.18
8/3/2020,7,0.31
8/4/2020,13,0.58
8/5/2020,6,0.27
8/6/2020,8,0.36
8/7/2020,6,0.27
8/8/2020,8,0.36
8/9/2020,7,0.31
8/10/2020,9,0.40
8/11/2020,6,0.27
8/12/2020,7,0.31
8/13/2020,11,0.49
8/14/2020,11,0.49
8/15/2020,8,0.36
8/16/2020,5,0.22
8/17/2020,5,0.22
8/18/2020,10,0.45
8/19/2020,12,0.54
8/20/2020,8,0.36
8/21/2020,7,0.31
8/22/2020,4,0.18
8/23/2020,6,0.27
8/24/2020,9,0.40
8/25/2020,0,0.00
8/26/2020,0,0.00
8/27/2020,1,0.04
8/28/2020,0,0.00
8/29/2020,0,0.00
8/30/2020,0,0.00
